Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
        ,               ,   ,          ,      ,            ,2/on WIP ,          ,       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
BOG001  ,CREW SOCK      ,1,BLACK     ,MENS  ,ACCESSORIES ,1,          ,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,95
BOG002  ,DEGREES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,51,0
BOG002  ,DEGREES        ,609,WINE      ,WOMENS,ACCESSORIES ,1,          ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,0
BOG003  ,STRIPES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0
BOG003  ,STRIPES        ,63,BLK BERRY ,WOMENS,ACCESSORIES ,1,          ,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,0
BOG004  ,DEGREES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,9,0
BOG004  ,DEGREES        ,609,WINE      ,WOMENS,ACCESSORIES ,1,          ,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
BOG005  ,STRIPES        ,1,BLACK     ,WOMENS,ACCESSORIES ,1,          ,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,8,0
BOG005  ,STRIPES        ,63,BLK BERRY ,WOMENS,ACCESSORIES ,1,          ,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
BOG006  ,DEGREES        ,1,BLACK     ,KIDS  ,ACCESSORIES ,1,          ,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,57,0
BOG006  ,DEGREES        ,609,WINE      ,KIDS  ,ACCESSORIES ,1,          ,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,31,0
BOG007  ,STRIPES        ,1,BLACK     ,KIDS  ,ACCESSORIES ,1,          ,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,41,0
BOG007  ,STRIPES        ,63,BLK BERRY ,KIDS  ,ACCESSORIES ,1,          ,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,25,0
BOG008  ,BOOT SOCK      ,1,BLACK     ,MENS  ,ACCESSORIES ,1,          ,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0
INSOLE K,INSOLE KIDS    ,0,NO COLOR  ,WOMENS,MISCELLANEOU,2,12/31/12,30,6,4,4,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
INSOLE M,INSOLE MENS    ,0,NO COLOR  ,MENS  ,MISCELLANEOU,2,12/31/12,309,0,0,0,0,0,0,7,20,40,60,80,50,25,15,6,6,0,0,0,0,0,0,0,0,0,0
INSOLE W,INSOLE WOMENS  ,0,NO COLOR  ,WOMENS,MISCELLANEOU,2,12/31/12,317,0,0,0,0,0,7,40,60,100,60,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50325,BLAZE 1000     ,973,MOSSY OAK ,MENS  ,MENS HUNTING,1,          ,276,0,0,0,0,0,0,1,19,6,47,86,81,32,4,0,0,0,0,0,0,0,0,0,0,0,0
51336,CLASSIC MID NO ,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,27,0,0,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51366,CLASSIC MID    ,973,MOSSY OAK ,KIDS  ,KIDS HUNTING,1,          ,840,107,76,75,63,63,64,28,54,21,55,79,68,87,0,0,0,0,0,0,0,0,0,0,0,0,0
51366,CLASSIC MID    ,973,MOSSY OAK ,KIDS  ,KIDS HUNTING,2,12/11/12,486,0,36,24,66,66,102,0,0,90,42,24,12,24,0,0,0,0,0,0,0,0,0,0,0,0,0
51366,CLASSIC MID    ,973,MOSSY OAK ,KIDS  ,KIDS HUNTING,2,1/16/13,396,18,36,60,30,18,24,0,0,18,48,60,48,36,0,0,0,0,0,0,0,0,0,0,0,0,0
51377,ULTRA HIGH     ,1,BLACK     ,MENS  ,MENS CLASSIC,1,          ,"2,408",0,0,0,35,36,10,0,210,349,561,593,351,155,108,0,0,0,0,0,0,0,0,0,0,0,0
51377,ULTRA HIGH     ,1,BLACK     ,MENS  ,MENS CLASSIC,2,3/2/13,250,0,0,0,0,0,30,34,72,18,0,30,36,24,6,0,0,0,0,0,0,0,0,0,0,0,0
51377,ULTRA HIGH     ,1,BLACK     ,MENS  ,MENS CLASSIC,2,3/4/13,"2,712",0,0,0,0,0,0,252,216,528,672,408,390,246,0,0,0,0,0,0,0,0,0,0,0,0,0
51407,ULTRA MID      ,1,BLACK     ,MENS  ,MENS CLASSIC,1,          ,"11,060",0,0,0,14,10,26,143,"1,105","1,352","2,598","2,774","1,747",996,295,0,0,0,0,0,0,0,0,0,0,0,0
51407Z  ,ULTRA MID      ,1,BLACK     ,MENS  ,MENS CLASSIC,1,          ,30,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51537,CLSC ULTRA HIGH,1,BLACK     ,WOMENS,WOMENS CLASS,1,          ,697,0,0,0,0,0,70,108,192,170,97,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52012,JOURNEY RUBBER ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,157,0,0,0,0,0,0,0,35,101,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
52053,CLASSIC HI BUGS,202,CHOCOLATE ,KIDS  ,KIDS CLASSIC,1,          ,18,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52063,CLASSIC HIGH   ,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,918,9,42,0,10,26,13,84,84,132,111,123,155,129,0,0,0,0,0,0,0,0,0,0,0,0,0
52064Z  ,CLSSC HI HNDLES,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52065,CLASSIC HIGH HA,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,"8,757",991,933,821,572,521,515,177,266,367,615,947,"1,071",961,0,0,0,0,0,0,0,0,0,0,0,0,0
52073,BLAZE FLEECE   ,1,BLACK     ,MENS  ,MENS HUNTING,1,          ,909,0,0,0,296,290,284,4,0,0,0,0,0,17,3,15,0,0,0,0,0,0,0,0,0,0,0
52094,URBAN WALKER   ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,"2,306",0,0,0,0,0,0,20,218,359,560,539,375,193,17,6,10,9,0,0,0,0,0,0,0,0,0
52094,URBAN WALKER   ,1,BLACK     ,MENS  ,MENS OUTDOOR,2,1/25/13,"1,311",0,0,0,0,0,0,60,24,174,276,294,138,84,108,54,36,36,27,0,0,0,0,0,0,0,0
52123,CLASSIC HI FERN,1,BLACK     ,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52128,CLSC MID FERN  ,400,BLUE      ,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52139,URBAN WALKER   ,1,BLACK     ,WOMENS,WOMENS CLASS,1,          ,9,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52155,BLAZE MT       ,973,MOSSY OAK ,MENS  ,MENS HUNTING,1,          ,77,0,0,0,0,0,0,8,0,6,0,22,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0
52156,CLSC HI SPIDERS,1,BLACK     ,KIDS  ,KIDS CLASSIC,1,          ,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52178,TRUGREEN BOOT 2,200,BROWN     ,MENS  ,MENS INDUSTR,2,2/4/13,8,0,0,0,0,0,0,0,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
52183,BLAZE 1000     ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,290,0,0,0,0,0,0,29,52,74,54,6,38,17,20,0,0,0,0,0,0,0,0,0,0,0,0
52184,ARCTIC ROAMER  ,1,BLACK     ,MENS  ,MENS CLASSIC,1,          ,598,0,0,0,0,0,0,0,52,111,129,130,110,48,18,0,0,0,0,0,0,0,0,0,0,0,0
52185,TRADESMAN TALL ,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,260,0,0,0,41,42,25,26,50,23,0,33,0,12,0,3,0,3,2,0,0,0,0,0,0,0,0
52186,TRADESMAN TALL ,200,BROWN     ,MENS  ,MENS INDUSTR,1,          ,512,0,0,0,21,34,29,42,128,61,40,14,16,71,8,10,5,16,17,0,0,0,0,0,0,0,0
52190,JOURNEYMAN     ,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,6,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52191,JOURNEYMAN ST  ,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,35,0,0,0,0,0,0,3,5,4,6,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
52221,TAYLOR         ,460,BLUE MULTI,WOMENS,WOMENS OUTDO,1,          ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52223,TAYLOR         ,340,GRN MULTI ,WOMENS,WOMENS OUTDO,1,          ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
        ,               ,   ,          ,      ,            ,2/on WIP ,          ,       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
52239,CLASSIC HIGH   ,603,OX BLOOD  ,WOMENS,WOMENS CLASS,1,          ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52273,COPPERHEAD     ,974,REALTREE  ,MENS  ,MENS HUNTING,1,          ,59,0,0,0,0,0,0,0,9,7,8,4,19,6,6,0,0,0,0,0,0,0,0,0,0,0,0
52275,BLAZE 1000     ,974,REALTREE  ,MENS  ,MENS HUNTING,1,          ,173,0,0,0,0,0,0,2,1,16,27,87,31,0,9,0,0,0,0,0,0,0,0,0,0,0,0
52336,BURNSIDE       ,300,GREEN     ,WOMENS,WOMENS OUTDO,1,          ,6,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52337,BURNSIDE       ,700,YELLOW    ,WOMENS,WOMENS OUTDO,1,          ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52338,BURNSIDE       ,511,GRAPE     ,WOMENS,WOMENS OUTDO,1,          ,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52339,BURNSIDE       ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52347,CHARLOT        ,650,PINK      ,KIDS  ,KIDS CLASSIC,1,          ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52348,CHARLOT        ,400,BLUE      ,KIDS  ,KIDS CLASSIC,1,          ,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52353,BURNSIDE       ,650,PINK      ,KIDS  ,KIDS OUTDOOR,1,          ,7,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52354,BURNSIDE       ,530,LAVENDER  ,KIDS  ,KIDS OUTDOOR,1,          ,5,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52355,BURNSIDE       ,441,AQUA      ,KIDS  ,KIDS OUTDOOR,1,          ,12,2,1,2,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52359,BURNSIDE       ,203,COFFEE    ,KIDS  ,KIDS OUTDOOR,1,          ,11,2,1,1,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52363,HAWTHORNE      ,530,LAVENDER  ,KIDS  ,KIDS OUTDOOR,1,          ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52367,HAWTHORNE      ,1,BLACK     ,KIDS  ,KIDS OUTDOOR,1,          ,171,15,4,3,0,0,0,0,11,26,22,39,29,22,0,0,0,0,0,0,0,0,0,0,0,0,0
52371,BURNSIDE       ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52381,TRADESMAN LITE ,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,397,0,0,0,32,32,39,45,3,111,29,54,0,14,38,0,0,0,0,0,0,0,0,0,0,0,0
52384,BLAZE HI       ,300,GREEN     ,MENS  ,MENS HUNTING,1,          ,902,0,0,0,257,260,246,24,0,0,2,0,27,31,20,35,0,0,0,0,0,0,0,0,0,0,0
52401,BRIDGEPORT     ,20,GRAY      ,MENS  ,MENS OUTDOOR,1,          ,7,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
52402,BRIDGEPORT     ,200,BROWN     ,MENS  ,MENS OUTDOOR,1,          ,17,0,0,0,0,0,0,0,1,2,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
52403,BRIDGEPORT     ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52405,JAMISON        ,200,BROWN     ,MENS  ,MENS OUTDOOR,1,          ,36,0,0,0,0,0,0,0,2,3,1,11,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0
52406,JAMISON        ,1,BLACK     ,MENS  ,MENS OUTDOOR,1,          ,137,0,0,0,0,0,0,0,5,0,40,7,24,22,39,0,0,0,0,0,0,0,0,0,0,0,0
52410,PATTON         ,200,BROWN     ,MENS  ,MENS CLASSIC,1,          ,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
52412,HAWTHORNE      ,310,IVY GREEN ,MENS  ,MENS OUTDOOR,1,          ,30,0,0,0,0,0,0,0,18,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52414,HAWTHORNE      ,20,GRAY      ,MENS  ,MENS OUTDOOR,1,          ,873,0,0,0,0,0,0,0,62,169,202,182,111,97,50,0,0,0,0,0,0,0,0,0,0,0,0
52416,BURNSIDE       ,310,IVY GREEN ,MENS  ,MENS OUTDOOR,1,          ,331,0,0,0,0,0,0,0,19,63,76,59,45,40,29,0,0,0,0,0,0,0,0,0,0,0,0
52420,INDUSTRIAL CHUK,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,315,0,0,0,0,0,0,0,26,56,66,84,52,31,0,0,0,0,0,0,0,0,0,0,0,0,0
52421,INDSTRL CHUK ST,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,449,0,0,0,0,0,0,0,27,83,97,120,75,47,0,0,0,0,0,0,0,0,0,0,0,0,0
52422,INDUSTRIAL SLIP,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,286,0,0,0,0,0,0,0,52,62,28,41,39,49,15,0,0,0,0,0,0,0,0,0,0,0,0
52423,INDSTRL SLIP ST,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,92,0,0,0,0,0,0,0,19,11,0,9,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0
52424,INDUSTRIAL TALL,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,262,0,0,0,0,0,0,0,10,22,72,81,55,18,4,0,0,0,0,0,0,0,0,0,0,0,0
52425,INDUSTRIAL TALL,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,8,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52426,JOURNEYMAN STMG,1,BLACK     ,MENS  ,MENS INDUSTR,1,          ,"1,070",0,0,0,0,0,0,0,71,151,277,291,229,37,14,0,0,0,0,0,0,0,0,0,0,0,0
52427,FIREHOUSE      ,1,BLACK     ,MENS  ,MENS INDUSTR,2,2/3/13,476,0,0,0,0,0,0,0,31,58,129,128,88,31,11,0,0,0,0,0,0,0,0,0,0,0,0
52431,JAMISON        ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,147,0,0,0,0,0,10,33,36,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52434,BRIDGEPORT     ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,45,0,0,0,0,0,20,19,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52435,BRIDGEPORT     ,20,GRAY      ,WOMENS,WOMENS OUTDO,1,          ,312,0,0,0,0,0,19,69,98,32,77,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52438,MASON          ,1,BLACK     ,WOMENS,WOMENS TAILO,1,          ,932,0,0,0,0,0,99,249,199,192,140,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52439,MASON          ,200,BROWN     ,WOMENS,WOMENS TAILO,1,          ,"1,358",0,0,0,0,0,118,285,299,305,234,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52440,MCKENNA        ,1,BLACK     ,WOMENS,WOMENS TAILO,1,          ,528,0,0,0,0,0,68,137,42,41,139,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52441,MCKENNA        ,200,BROWN     ,WOMENS,WOMENS TAILO,1,          ,199,0,0,0,0,0,29,33,54,44,23,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52454,RUE            ,600,RED       ,WOMENS,WOMENS OUTDO,1,          ,306,0,0,0,0,0,49,83,102,27,21,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52455,RUE            ,531,VIOLET    ,WOMENS,WOMENS OUTDO,1,          ,9,0,0,0,0,0,2,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52456,RUE            ,441,AQUA      ,WOMENS,WOMENS OUTDO,1,          ,201,0,0,0,0,0,52,71,32,11,29,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52457,RUE            ,300,GREEN     ,WOMENS,WOMENS OUTDO,1,          ,8,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52458,RUE            ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,159,0,0,0,0,0,27,52,29,15,28,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52458,RUE            ,1,BLACK     ,WOMENS,WOMENS OUTDO,2,2/4/13,300,0,0,0,0,0,6,24,96,60,48,30,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52461,CHARLOT        ,441,AQUA      ,WOMENS,WOMENS OUTDO,1,          ,62,0,0,0,0,0,0,0,1,9,32,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52462,CHARLOT        ,300,GREEN     ,WOMENS,WOMENS OUTDO,1,          ,125,0,0,0,0,0,0,3,0,34,41,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Style   ,Description    ,Clr,Color     ,Gender,Item Group  ,1/at once,   WIP ETA,   TOT ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,    S ,    M ,    L ,   XL 
        ,               ,   ,          ,      ,            ,2/on WIP ,          ,       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      
52463,CHARLOT        ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,175,0,0,0,0,0,22,27,44,42,23,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52464,ALEX           ,9,BLK MULTI ,WOMENS,WOMENS OUTDO,1,          ,47,0,0,0,0,0,11,22,0,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52465,ALEX           ,542,PURPLE    ,WOMENS,WOMENS OUTDO,1,          ,522,0,0,0,0,0,32,117,150,101,100,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52466,ALEX           ,600,RED       ,WOMENS,WOMENS OUTDO,1,          ,192,0,0,0,0,0,16,53,13,47,37,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52467,ALEX           ,441,AQUA      ,WOMENS,WOMENS OUTDO,1,          ,121,0,0,0,0,0,31,27,21,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52468,RIDER EMBOSS   ,1,BLACK     ,WOMENS,WOMENS OUTDO,1,          ,132,0,0,0,0,0,29,2,0,6,63,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52472,CLSC HI TUSCANY,963,BLK & BRN ,WOMENS,WOMENS CLASS,1,          ,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
